Date,Comments,Topic,Sentiment
12/11/2024,যে ছেলেটা হান্ডি তৈরি করে গত কয়েক দিন আগে আবেশ হোটেলে কাজ করে।সে আবেশ হোটেলের মালিকের কাছে এসে অসহায় এর মত চাকরি চায়মহাজন এরে চাকরী দেয় আবেশ হোটেল থেকে হান্ডি শিখে নিজের নামে চালায়।আবেশ হোটেলে হান্ডি চালু হয় ২০১৯ সালে।,food,neutral
12/11/2024,সব চাপা! ৬৫ মসলা,food,negative
12/20/2024,জঘন্যতম হান্ডি,food,hate
1/11/2025,বাডিতে কি খাসনা  ফিরি খাওয়া দানদা,food,negative
12/20/2024,সুমন ভাইকে বলে শিখাইসে বলে শিখাইসে কত বড় বটপার মশলা দিসে কম ফুড কালার দিয়ে ভরায়ে রাখসে চাকরি করসে দিল্লিতে কিনা সেটারো সন্দেহ আছে,food,negative
1/23/2025,ফাহিম ভাই আপনার ভিডিও দেখে এ-ই দোকান থেকে  হান্ডি বিফ খাইছিলা  মানে কি বলবো  গরুর মাংসের মান সম্মান শেষ,food,negative
12/11/2024,প্লেট এ মনোগ্রাম থাকলে সেটা সামনের দিকে থাকবে। এটা টেবিল ম্যানার।,food,neutral
2/3/2025,সিটার,others,neutral
1/10/2025,আহারে হান্ডি বিফ শিখতে ১লাখ টাকা লাগে,food,neutral
12/28/2024,নল্লি কি আবার? মু র্খ,food,hate
12/17/2024,এলাকার মানুষই এগুলা খায় নাএকদম ফালতু,food,negative
12/15/2024,কেরোসিন দেয় কেন,others,neutral
12/13/2024,সবাই যদি ৩০০কেজি ৫০০কেজি কেউ কেউ বলছে ১০০০কেজি প্রতি দিন বিক্রি  করে। বেশি বলা কি একটা ফেশান হয়ে গেছে।ঢাকা শহরের মানুষ  কি শুধু  হোটেলে খায়??ফালতু,food,negative
1/23/2025,ফাহিম ভাই সৈয়দপুর  আসেন দায়ত থাকলো জেলা নীলফামারী,others,neutral
12/30/2024,খুব ভালো তো দারুন,others,positive
12/15/2024,শালার বাংগালী নাকি গরিব যারা ৪ পিস গোস্তো কাই ৩০০ টাকা দিয়ে ইন্ডিয়ার দাদা বাবুদের কান দরে এনে দেকানোর উচিত,abusive,hate
12/11/2024,ভাই আপনার লগে কথা কইতে কইতে কয়েকটা হাড্ডি তে কষ্ট কম দিয়ে দিছে,others,neutral
12/15/2024,ছাত্র বন্ধুদের আগায় দিয়েছেন এই বিষয়টা ভালো লাগছে,education,positive
1/21/2025,কোন যায়গা?,others,neutral
1/18/2025,অনেকক্ষণ ভিডিও করলেন এখন ফিরি ফিরি খাওয়াটা খান এইসবই হবে,food,neutral
12/26/2024,রসুন গুলা সাথে জীবানু আছে  আনহাইজেনিক,food,negative
12/12/2024,ভালো হান্ডি দোস্ত ঢাকা শহরে পাওয়াই দুষ্কর।। বেশিরভাগই পরিপূর্ণ প্রক্রিয়া দ্বারা এটি তৈরি করে না। তার ভিতর থেকে ফাহিম ভাই চেষ্টা করে ভালো কিছু দেখানোর জন্য। ফাহিম ভাইকে ধন্যবাদ।,food,positive
3/22/2025,শুধু @MustMilk ঘি আপনি খেয়ে দেখুন আর এটা আমার খাওয়া সেরা ঘি! খাঁটি এবং সুগন্ধযুক্ত। আমি  বেক্তিগত ভাবে রিকমান্ড করি।খাঁটি দুধের ননি থেকে তাদের এই প্রিমিয়াম কোয়ালিটির ঘি  তৈরি করা হয়।,food,positive
12/13/2024,মজা নাই এইখানে খাইয়া।,food,negative
12/13/2024,এরা মিথ্যা কথা বলছে। যে ছেলে রুটি বানাচ্ছে আর এই সাব্বির দুজনেই আবেশে কাজ করত। সাব্বির সুমন ভাইয়ের কাছে শিখে কিন্তু পুরোপুরি সেটা জানেনা। মিথ্যা কথা ছড়াচ্ছে। আবেশের হান্ডির ধারের কাছেও এরা নেই।,food,negative
12/11/2024,খলিলের কিমা বিরিয়ানি ফালতু একটা ব্লগ ছিলো।,food,negative
12/11/2024,বাসায় ভালো করে রান্না করলে আরো মজা হয় এ সমস্ত ভিডিও আসলে মানুষকে বাইরে খাওয়ার দিকে প্রলুব্ধ করে যা অসুখ বিসুখ বিভিন্ন ধরনের রোগ ব্যাধিতে মানুষ আক্রান্ত সামর্থ্য অনুযায়ী সবাই তাদের বাসার খাবার খেতে চেষ্টা করেন।,food,neutral
12/24/2024,আসসালামু আলাইকুম ভাই প্রশ্নবোধের মসলা তো একমাত্র গিরিলের জন্য আর উনি ৬৫ বছর বলতে বলতে হঠাৎ মসলাফ ৬৫ এটিএম নেই দুবাই থেকে বলছিলাম একজন শেখ,food,neutral
1/24/2025,হান্ডিতে গোস্তের পরিমাণ কম বেশি মনে হচ্ছে।,food,negative
12/11/2024,দামটা খুব বেশি মনে হল আমার কাছে কাছে  আমার সাথে কে কে একমত লাইক দিন,others,negative
12/24/2024,এই ভিডিওটা গরিব আর মধ্যবিত্তদের জন্য না,others,negative
1/12/2025,হান্ডি খেয়ে ভাল লাগেনাই।,food,negative
12/12/2024,ভর্তা শুটকি দাম কেমন ?,food,neutral
12/19/2024,65 রকমের মশলা নেই এই কথা বাটপারীর মধ্যে পড়ে,food,negative
12/11/2024,এত মাংশ দেয়না ভাই,food,negative
4/14/2025,রান্নার সিস্টেম টা ভাল্লাগছে,food,positive
12/12/2024,শুকনো মরিচের বোঁটা গুলো ফেলে দেওয়া উচিত ছিল।,food,neutral
12/18/2024,এই জায়গায় ঠিকানা দেন,others,neutral
12/11/2024,ভুয়া,others,negative
12/11/2024,বাটপার,others,negative
12/22/2024,এই বদমাইশের বাটপারির জ্বালায় জীবনের চলেনা।,others,hate
12/11/2024,আল্লাহকে কে কে ভালবাসেন,religious,neutral
2/25/2025,মসলা কে ingredient bolben মসলা বলার দরকার নাই।,food,neutral
1/24/2025,একেতো মানুষের গ্যাস্ট্রিক তার উপর পঁয়ষট্টি পদের মসললা।,food,negative
1/27/2025,আমি একদিন গিয়েছিলাম রাজ হান্ডিতে।  একদম বাজে খাবার এর স্বাদ।,food,negative
12/11/2024,ফাইম ভাই ওকে কেনো জিজ্ঞেস করেন নাই ও ১৪ বছর দিল্লিতে থাকলে ওর বয়স কতো বছর,others,neutral
12/11/2024,কেউ কি জানেন এইটা কোথায় ঠিকানা টা কেউ জানেন,others,neutral
2/7/2025,ভাইয়া ঐ বাচ্চাদের যারা ভেন থামিয়ে আপনার সাথে দেখা করলো  ঐ বাচ্চাগুলোকে কিছু খাওয়ানোর দরকার ছিলো ওরা অনেক খুশি ও আনন্দ পেতো।,food,neutral
4/23/2025,খেয়ে আসলাম হান্ভি গোস্ত যেমন ঝাল তেমন শক্ত তার উপর রেস্টুরেন্টটা গরমএসি চলে না; একদমই বাজে অভিজ্ঞতা।,food,negative
2/2/2025,ফালতু খাবার,food,negative
1/8/2025,ভালো,others,positive
5/4/2025,হাড়ি সহ কি বিক্রি করে ভাইকত নিবে?,others,neutral
12/23/2024,ভিডিও গুলো দেখতে খুব ভালো লাগে,others,positive
12/26/2024,খেয়েছি আহামরি কিছুই না সালের দিক দিয়ে। তবে মাটির হাড়িটাই আর্কষণ,food,negative
1/11/2025,ধুর ভাই আপনি তো খাইতেই শিখেননি। মাংস দাত দিয়ে ছিড়তে হয়।,food,negative
5/21/2025,চাপাবাজ ঐ শেফ,food,negative
12/14/2024,অনেক সুন্দর খাবার গুলো একদিন খেতে যাবো,food,positive
12/12/2024,ফাহিম ভাইয়া আমি তোমার একটা ছোটবোন আমি তোমার কাছে একটা সাহায্য চাই করবেন,others,neutral
12/11/2024,এত মসলা দিয়ে রান্না করলে কিইবা মজা পাওয়া যায়  এখন সবাই বিফ হানডি হাঁস হানডি খাসির হানডি সবাই বিশ্বের সেরা সিফ  পরিষ্কার পরিচ্ছন্ন ভাবে বানাইছে কিনা ভিডিও দেন ফাহিম ভাই,food,negative
1/1/2025,খুবই বাজে খেয়ে মনে হলো পুরোটাকাটাই জলে গেছে। ভালোর মধ্যে বলতে পারি মাংসটা নরম ছিল। কিন্তু স্বাদ ভালো লাগে নাই।,food,negative
12/12/2024,ভাইয়া আপনার ব্লগ ছোট্ট ছোট্ট বাচ্চারা দেখে । এটা দেখে খুবই ভালো লেগেছে,others,positive
11/30/2024,বাইরের দেশের কন্টেন্ট কপি করে এইদেশের মানুষ দের কাছে উপস্থাপন করা বাদ দেন । নিজের যোগ্যতায় কন্টেন্ট তৈরি করেন ।,others,negative
12/1/2024,আশা করি নিজেকে বদলাতে পেরেছেন,others,positive
12/13/2024,ভাল হয়ে যাও রাফসন ভাল হয়ে যাও,others,positive
11/29/2024,তোমার ঋণখেলাপী আব্বা ব্যাংকের টাকা ফেরত দিছে রাফসান?,others,negative
11/29/2024,তুমি বাংলাদেশি মানুষ হয়েও তুমি কেন তোমার ইউটিউবে এত ইংরেজি বল এতে বিদেশের মানুষ মনে করবে আমাদের দেশের ভাষা খারাপ,others,negative
11/26/2024,স্বৈরাচারের দোসর তোর চৌদ্দগুষ্টির যেমন লজ্জ্বা সরম নাই ঠিক তোরও নাই।,abusive,hate
11/29/2024,বাংলা বলতে পারিস না বাঙালি এত ইংলিশ মারাস কে,others,negative
12/3/2024,ও এখনও বাহিরে কেন জেলে থাকার কথা,others,negative
11/27/2024,সবাই ফ্রেশ মাংস খেতে চায়,food,neutral
12/6/2024,রাফসান রাজাকার,abusive,hate
11/28/2024,বিরিয়ানি খায় পরি লাগায়। প্রিভিলেজড গাই।,others,negative
12/3/2024,এইবার দেশ প্রেমিকের পরিচয় দিয়ে পাকিস্তানের খাবারের ভিডিও বানিয়ে বাঙ্গালীদের মাঝে ছড়িয়ে দিন।,others,negative
11/29/2024,খুব খারাপ লাগে এই বাংলা ভাষার জন্য এত মানুষ রক্ত দিল আর তুমি ইংরেজি বলে তাদের রক্তের মূল্য নষ্ট করছ,others,negative
2/24/2025,আমার প্রিয় ইউটিউবার হচ্ছে রাকিব হাসান এন্ড রাফসান দা ছোট ভাই তৌহিদ আফ্রিদি সালমান মুক্তাদির,others,positive
12/7/2024,বলছি ঢাকার বিখ্যাত শুওরের মাংস কোথায় পাওয়া যায়,abusive,hate
12/24/2024,৫ আগস্ট কইছিলা,others,neutral
11/26/2024,যাইহোক ফুড ব্লগিং খুব ভালোই করে,others,positive
11/29/2024,আমি রিপোর্ট মারলাম,others,negative
11/29/2024,এত কথায় কথায় ইংরেজি মারাও কেন নিজেরে কি প্রমাণ কর বোকা চন্দ্র,others,negative
1/4/2025,জায়গাটার নাম কি,others,neutral
12/12/2024,আরো কিছু টাকা জমা করে বাবাকে একটা বিমান কিনে দিছ ব্যাংক লোনটা আগে ক্লিয়ার কর বেটা,others,negative
11/29/2024,থামনেল দা মিস্টার ভিস্টের কপি,others,negative
12/9/2024,এই আবাল কি বলে  গরুর মাংস ঝোল তরকারি আর স্টেক এর তুলনা দিচ্ছে।,others,negative
12/3/2024,ফালতু vloger,others,negative
12/7/2024,ভাইয়া একটা হেল্প করতে পারবেন আমাকে,others,neutral
11/30/2024,রাজাকার ছোট ভাই,abusive,hate
12/7/2024,বেইমান সুবিধাবাদী কনটেইনার একে যারা সাবক্রাইব  তারা আরও প্রতিবন্ধী,abusive,hate
12/18/2024,মানুষ মাএরই ভুল হয় কিছু শেখে   ভুল থেকে আবার সঠিক হয় আসা করি আগের মতন উৎফুল্ল হয়ে সামনের ভিডিও গুলা করবে। কারন আমার দেখা মতে রাফসান হলো বাংলাদেশের শ্রেষ্ট ফুড ব্লগার বললেও কেউ অবাক হবে না আর এই সম্পদ চাই না হারিয়ে জাক। best of luck,others,positive
12/6/2024,ভাই আপনি কি ক্যামেরা ম্যান কে দিয়ে খান?,others,neutral
11/28/2024,সব মিছা কথা কয়,others,negative
11/29/2024,আপনি ববেশি ইংলিশ ঝাড়তে যান আমরা বাঙালি আপনি কোনদিন মিস্টার বিষ্ট হতে পারবেন না এজন্য সাবস্ক্রাইব করেছিলাম আবার আনসাব করলাম মিস্টার বিস্ট কে নকল করতেছো মিস্টার বিস্ট একজন মুসলমান না তিনি কিন্তু তিনি দান করে আপনার মত কাউকে নকল করে না,others,negative
1/25/2025,থামনিল টা চেনা চেনা লাগতেছে,others,neutral
11/30/2024,24 এর রাজাকার,abusive,hate
12/11/2024,আপনার বাপ যে ঋণ নিয়ে টাকা ফেরত দিচ্ছে না সেইটা কেন ধরেন না?,others,negative
11/29/2024,ব্যাংক এর টাকা পরিশোধ করুন প্লিজ।,others,negative
2/24/2025,রাফসানদা ছোট ভাই মানে বিগ ফ্যান বিগ ব্যাং,others,positive
1/17/2025,1 কেজি গরুর গোসের দাম 1000 টাকা ধরি খরচ মসলা 1000 টাকা স্টাফ খরচ 1000 টাকা কারেন্ট বিল গ্যাস অন্যান্য খরচ 1000 টাকা সব বাড়তি বাড়তি ধরার পরেও ভাই 27000 মাথায় ধরে না শুধু নামে বেচতেছে এগুলো মুকেশ আম্বানির মত যারা ধনী ব্যক্তি আছে তাদের জন্য,food,negative
4/30/2025,আবালের মতো ১২০/২৫০০ বলতেছে! ১২০ টাকায় কি ১০০০ গ্রাম দিছে?,others,negative
11/30/2024,মিস্টার বেস্ট কে কপি করে,others,negative
11/28/2024,আমাদের রাজশাহী তে আসা লাগবে ভাই,others,neutral
3/29/2025,তুমি দেখতে সেই,others,positive
12/10/2024,রাফসান স্বৈরাচারের দালালি করছে সবাই কি ভুলে গেলে এত তাড়াতাড়ি। হায়রে বাঙালি।,abusive,hate
12/11/2024,রাফসান ভাই আপনার কাছ থেকে কি কোনো গিফ্ট পাবো জানাবেন প্লিজ?,others,neutral
12/22/2024,রাফসান ফালতু,others,negative
2/20/2025,কপি মাইরা দিলিইংলিশ ইউটিবার রে কপি,others,negative
12/11/2024,ওর বাপে কি ভাই ডাকে ওকে,others,neutral
3/12/2025,অসাধারণ,others,positive
12/28/2024,ভাইয়া শুকর এর মাংস  trie কর,abusive,hate
12/16/2024,গরিবের Mr. Beast,others,negative
11/30/2024,ফুটফুটে সুন্দর,others,positive
1/4/2025,কোথায়,others,neutral
12/4/2024,ব্যাংকের টাকা পরিশোধ করুন,others,negative
4/25/2025,জেলখানার খাবারের রিভিউ দিয়েন,others,neutral
12/1/2024,দালান দেখতে আসলাম,others,neutral
11/27/2024,ভাই এখন আর পাবলিক খায় না তোমারে,others,negative
4/18/2025,কম দামে ও অনেক ভালো খাবার পাওয়া যায়,food,positive
12/10/2024,পাগলের বাল,abusive,hate
3/17/2025,আমরা জে সাব্সক্রাইব করেছি আমাদের কি উপহার দিবা,others,neutral
1/22/2025,পাগল ব্লগার,others,negative
12/6/2024,হায়্ রে বাংলাদেশের মানুষ সব কিছু ভুলে গেলি? সব,others,negative
11/29/2024,দালালকে গ্রেফতার করা উচিৎ,abusive,hate
1/6/2025,কপি,others,negative
2/10/2025,আপনি কি বাংলায় কথা বলতে পারেন না,others,negative
12/3/2024,কোন ব্রিজের নিচে এটা,others,neutral
12/8/2024,ইংরেজি মারাও কেনোবাংলা বলতে পারো না,others,negative
11/29/2024,রাফসান তুমি এগিয়ে যাও লাল স্বাধীনতার দিকে তাকিয়ে লাভ নাই,others,neutral
12/6/2024,নবীনগর গিয়ে ভেলপুরি try করো ভাইয়া,food,neutral
12/17/2024,বাংলা ব্লগ করো বাংলায় কথা বলবা স্টুপিড। এই ভাষার জন্য জীবন দিছে মানুষ,others,negative
1/30/2025,ব্যাংক লোনের টাকা পরিশোধ করো না আর এখানে গরুর গোস্ত চিনাইতে আইছো? বিষয় টা হাস্যকর না,others,negative
12/22/2024,আল্লাহর দুনিয়ার খেলা বোঝা বড়ই কঠিন। সারা মাস পাগল এর মত খেটে ১০ হাজার টাকা বেতন পায়  আর কিছু কিছু মানুষ সামান্য একটু নাস্তা খেতে গেলেও ৩০-৪০ হাজার টাকা উড়িয়ে ফেলে। রব্বুল আলামিন আপনাদের রিজিকে আরো বরকত দান করুক আমিন,religious,positive
11/27/2024,রাজাকার দা ছোট ভাই এতো দিন পর কোথা থেকে,abusive,hate
11/27/2024,ভাই আমরা আমাদের জমানো টাকা ব্যাংক থেকে তুলতে পারি না। ব্যাংক দেউলিয়া। এরা গরু খাওয়ার ভিডিও বানায়। এদের সম্পত্তি বাজেয়াপ্ত করা উচিৎ,others,negative
3/4/2025,১২০ টাকার গরুর মাংস ভুনা সবার সেরা,food,positive
11/27/2024,যাই করো ভাইজান কোন নেতার ফুড রান্না কিংবা খাওয়া নিয়ে ভিডিও কইরো না,others,negative
11/30/2024,বিয়াদপ,abusive,hate
12/25/2024,তুই হালা row এর এজেন্ট।,abusive,hate
1/19/2025,মাদার*সুদ এখনো আছে,abusive,hate
12/16/2024,Wood house এ খাইছি। Just বমি আসছিল আমার.... নিজের বাসার রান্না করা ভুনা মাংসের মত কিছুই নাই। এগুলা জনগনকে বোকা বানানো ছাড়া কিছুই না,food,negative
12/2/2024,অন্য জনের ভিডিও কপি করে ভিডিও না করলেই ভালো হতো,others,negative
12/8/2024,বাম হাতে খাচ্ছো কেনো ব্রো,others,neutral
12/8/2024,ভোক্তা অধিকার এগুলো চিনেনাতারা চিনে ফুটপাতের ও অপেক্ষাকৃত ছোট ছোট দোকান,others,neutral
12/6/2024,স্বৈরাচারের দূসর রাফসান,abusive,hate
12/5/2024,ব্যাংকের টাকা ফেরত দিছেন?,others,negative
5/13/2025,এ-ই প্রতিবন্ধীর ভিডিও দেখা মানে......!,abusive,hate
11/29/2024,রাফসান ব্রো দেখি এখনো দেশে আছে ,others,neutral
11/27/2024,ঋণ খেলাপি,others,negative
1/14/2025,ছাগলের বাচ্চা রান্না করছে আরেক ছাগলের বাচ্চা খাচ্ছে এই কয়  টাকা তুই যদি অসহায় মানুষকে দান করতি তাহলে তোর জন্য সবাই দোয়া করতো,abusive,negative
11/29/2024,রাজাকার দা ছোট ভাই (৩),abusive,hate
12/5/2024,বাংলা বলতে চাইলে বাংলা ঠিক করে বলেন ইংরেজি বলতে চাইলে কমপ্লিটলি ইংরেজিতে কথা বলেন দুইটা মিক্সড করে বাংলিশ বইলেন না বিরক্তিকর এক্সেন্ট,others,negative
11/26/2024,কেমন আছেন ভাইয়া,others,neutral
12/11/2024,ছোট ভাই,others,neutral
12/7/2024,ছাগল,abusive,hate
11/29/2024,২৭০০০ টাকার গরুর মাংস ভিডিও করার জন্য না ওয়েস্ট করে আমাদেরকে ৮০০ টাকা করে দিয়ে দেন এক কেজি কিনে সবাই খাই,others,negative
12/7/2024,ভাই আপনার বাপের লোনের টাকা কি শোধ হইসে?,others,negative
11/26/2024,এই শেফের নাম কি?,others,neutral
12/16/2024,কোথায় 120 টাকা,others,neutral
12/15/2024,রাফসান হলো অন্যরকম,others,positive
12/5/2024,এবার টিক আসে ফুড ব্লগার,others,positive
12/1/2024,মানুষের সাথের মিশে থাকার মতো একজন মানুষ রাফসান ভাই,others,positive
12/24/2024,* ২৭ হাজার টাকায় বাশ *,others,negative
3/20/2025,হানিফ বাজে।,others,negative
3/21/2025,হাজী বিরানি দেখতে তো ভালো লাগছে না খাইতে মনে হয় ভালো না আবার দেখলাম এখানে অনেকেই কমেন্ট করতেছে হাজির বিরানি ভালো না সত্যিই মনে হয় ভালো না।,food,negative
3/22/2025,কেউ কি খাওয়া দেখতে চাইছে ফালতু ভিডিও,food,negative
3/21/2025,হাজীর চেয়ে হানিফ বিরানি ভালো,food,positive
3/22/2025,হানিফের বিরিয়ানী টা কি গরু নাকি খাশির কেউ বলতে পারেন???,food,neutral
3/21/2025,দুইবার বিরিয়ানি চিকেন চপকাবাববিফ কাবাব এগুলো কি সব এক রাতেই খাইছেন???,food,neutral
3/19/2025,হাজী বিরিয়ানি সবচেয়ে ফালতু আমি গত সাপ্তাহ খেয়েছিলাম আমার কাছে মনে হয়েছে রাস্তার বিরিয়ানি খাচ্ছি,food,negative
3/19/2025,কন্টেন্ট কম বকবক অনেক বেশি,others,negative
3/23/2025,হাজীর বিরিয়ানি খাওয়া আমার অনেক পছন্দের,food,positive
3/19/2025,ফাহিম ভাই নেক্সট ভিডিও তে শান্তা আপু কে সাথে আনবেন....,others,neutral
3/21/2025,মামুনের বিরিয়ানি তো দেখালেন না   ওটাও ভালো  হাজির বিরিয়ানি থেকে,food,positive
3/23/2025,আগের স্বাদ টা আর নেই,food,negative
3/22/2025,হাজি বিরানির টেস্ট নষ্ট হয়ে গেছে হানিফের বিরানির বেস্ট বর্তমানে,food,negative
3/20/2025,হাজি বিরিয়ানি হাইপ = ১০০% টেস্ট = ০%,food,negative
3/19/2025,এগুলো আমরা খাইছি টেস্ট একদম বাজে এগুলো শুধু নামেই খায় নামেই খায় কিন্তু খাইতে কোন স্বাদ নাই রে ভাই,food,negative
3/19/2025,তেহারি,food,neutral
3/19/2025,ভাই আপনাকে ক্যামরা দেখে মাংস ও চাল বাড়িয়ে দিয়েছে,food,neutral
3/19/2025,যেখানেই খান না কেনরংপুর সৈয়দপুর দিনাজপুরের খাবার না খেলে খাবার কি জিনিস বুঝবেন না,food,neutral
3/19/2025,আমরা গরীব মানুষ ভাই আপনারা খান আমরা শুধু দেখি দৈনিক যে টাকার খাবার কিনেন ওই টাকা হলে একজন সাধারণ মানুষের সারা মাস চলে,others,negative
3/20/2025,সলিড মাংস খুবই কম,food,negative
3/19/2025,ভাই গুরদা কোন খাবার ?,food,neutral
3/22/2025,হানিফ বেটার,others,positive
3/19/2025,এরা পারসেলে এত্ত কম দেই কি বলবো হারামি না করলে হয় না।,others,negative
3/19/2025,মিরপুর ১০ নম্বর বেনারশী পল্লি তে যে হাজী বিরিয়ানি সেটা কি আসল?,food,neutral
3/19/2025,হাজির বিরিয়ানি একবারেই বাজেযারা  খেয়েছে তারা ভালো করেই জানেবাট হানিফেরটা ভালো,food,negative
3/20/2025,আমি ও আসি,others,neutral
4/14/2025,হাজির বিরিয়ানি এখনো খাওয়া হয় নি। ইনশাআল্লাহ ভাগ্যে থাকলে ট্রাই করব একদিন।,food,positive
3/19/2025,হাজি বিরিয়ানি হুদাই ফাও  ৮০০ টাকাই আমার লস আর ওদের বুরহানি বাসি বাসি গন্ধ খেতেই পারি নাই,food,negative
3/22/2025,ফালতু বিরিয়ানি সুধু নাম আছে সাধ নাই এর চাই নয়ন বিরিয়ানি অনেক ভালো,food,negative
3/22/2025,এখানে আমি খেয়েছি খাবার গুলো একদম বাজে,food,negative
3/19/2025,কিসের কি পাকিস্তানের মসলা ছাড়া গন্ধযুক্ত খাবার আমাদের বাংলাদেশের মত মজার খাবার আর কোথাও নাই। পৃথিবীর ১৬ টা দেশ ঘুরে দেখার অভিজ্ঞতা থেকে বলতে পারি আমার দেশের মত সেরা খাবার আর খুঁজে পাই নাই পাবোও না,food,positive
3/21/2025,আল রাজ্জাকের ভিডিও কবে করবেন?,others,neutral
3/22/2025,নান্না বিরিয়ানির খাবার টা দেখানো উচিত ছিল।,food,neutral
3/20/2025,হাজির এটা তো তেহেরি বিরানি কেন বলে,food,neutral
